DCDetector_MSL_DCDetector_MSL_ftM_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_test_0
Epoch,Cost Time,Steps,Train Loss,Vali Loss,Test Loss
1,471.02314734458923,1820,0.2755076,0.3476479,0.347642

2,492.9296636581421,1820,0.1272308,0.2584294,0.258424

3,512.891190290451,1820,0.0937683,0.2327771,0.2327781

4,508.5060679912567,1820,0.081875,0.2520148,0.2519803

5,506.7093551158905,1820,0.0786806,0.2427031,0.2427004

6,509.2996051311493,1820,0.0741668,0.2427379,0.2427053


NSTransformer_MSL_NSTransformer_MSL_ftM_dm512_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_Exp_h256_l2_0
Epoch,Cost Time,Steps,Train Loss,Vali Loss,Test Loss
1,241.33293271064758,1820,0.275507,0.0514325,0.34758

2,242.27826976776123,1820,0.1272335,0.0256999,0.2579183

3,244.09800148010254,1820,0.0937745,0.0201956,0.2323884

4,242.4817271232605,1820,0.0818801,0.019403,0.2518699

5,245.74250602722168,1820,0.0786851,0.0189766,0.2427931

6,247.2166485786438,1820,0.0741724,0.0187405,0.242531

7,244.26615476608276,1820,0.0743409,0.0183598,0.2418915

8,244.83021664619446,1820,0.0739831,0.0183053,0.24192

9,244.43878412246704,1820,0.0726842,0.01835,0.2415518

10,243.83838319778442,1820,0.0725803,0.0183317,0.2411522


NSTransformer_PSM_NSTransformer_PSM_ftM_dm512_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_Exp_h256_l2_0
Epoch,Cost Time,Steps,Train Loss,Vali Loss,Test Loss
1,345.6080491542816,4137,0.0361095,0.0138007,0.022204

2,355.90559005737305,4137,0.0214955,0.009846,0.0165395

3,357.38432145118713,4137,0.0183763,0.0086197,0.0150446

4,357.0513918399811,4137,0.0170027,0.0079942,0.0139457

5,358.6960711479187,4137,0.0164336,0.0077943,0.0138497

6,358.9653859138489,4137,0.0161586,0.0076599,0.0137773

7,360.06095457077026,4137,0.0159622,0.007618,0.0136653

