Epoch,Cost Time,Steps,Train Loss,Vali Loss,Test Loss

1,253.74927926063538,222,0.2289625,0.4653289,2.1889349





MaelNetB1_MaelNetS1_PSM_Negative_Corr_RL_2_MaelNetB1_PSM_ftM_dm25_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0

Epoch,Cost Time,Steps,Train Loss,Vali Loss,Test Loss

1,1198.7052285671234,4137,0.0324851,0.2087486,0.2739936





MaelNetB1_MaelNetS1_SMAP_Negative_Corr_RL_2_MaelNetB1_SMAP_ftM_dm25_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0

Epoch,Cost Time,Steps,Train Loss,Vali Loss,Test Loss

MaelNetB1_MaelNetS1_SMD_Negative_Corr_RL_2_MaelNetB1_SMD_ftM_dm38_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0

Epoch,Cost Time,Steps,Train Loss,Vali Loss,Test Loss

1,162.99290990829468,222,0.2289676,0.4653256,2.189052





MaelNetB1_MaelNetS1_SMD_Negative_Corr_RL_3_MaelNetB1_SMD_ftM_dm38_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0

Epoch,Cost Time,Steps,Train Loss,Vali Loss,Test Loss

1,161.79951310157776,222,0.2289626,0.4653246,2.1889856



2,164.99404001235962,222,0.1937654,0.4089792,2.1252095



3,170.19137454032898,222,0.177019,0.3834838,2.0291684



4,167.1534125804901,222,0.1711871,0.3724811,2.0512869



5,166.51168537139893,222,0.1678518,0.3672457,1.9833882



6,166.26428747177124,222,0.1660781,0.3674278,1.9571357



7,166.24270391464233,222,0.165213,0.3647187,2.0191686



8,166.72967386245728,222,0.1648643,0.3631872,2.0326993



9,166.5577311515808,222,0.1644071,0.3618207,1.9613973



10,166.5490334033966,222,0.1644169,0.3616661,2.0145774





MaelNetB1_MaelNetS1_PSM_Negative_Corr_RL_3_MaelNetB1_PSM_ftM_dm25_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0

Epoch,Cost Time,Steps,Train Loss,Vali Loss,Test Loss

MaelNetB1_MaelNetS1_PSM_Negative_Corr_RL_3_MaelNetB1_PSM_ftM_dm25_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0

Epoch,Cost Time,Steps,Train Loss,Vali Loss,Test Loss

MaelNetB1_MaelNetS1_PSM_Negative_Corr_RL_3_MaelNetB1_PSM_ftM_dm25_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0

Epoch,Cost Time,Steps,Train Loss,Vali Loss,Test Loss

MaelNetB1_MaelNetS1_PSM_Negative_Corr_RL_3_MaelNetB1_PSM_ftM_dm25_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0

Epoch,Cost Time,Steps,Train Loss,Vali Loss,Test Loss

MaelNetB1_MaelNetS1_PSM_Negative_Corr_RL_3_MaelNetB1_PSM_ftM_dm25_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0

Epoch,Cost Time,Steps,Train Loss,Vali Loss,Test Loss

MaelNetB1_MaelNetS1_PSM_Negative_Corr_RL_4_MaelNetB1_PSM_ftM_dm25_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0

Epoch,Cost Time,Steps,Train Loss,Vali Loss,Test Loss

1,285.25829005241394,4137,0.0714026,0.2789173,0.2918762



2,287.5208435058594,4137,0.0424195,0.2482026,0.2741912



3,289.7191460132599,4137,0.0321443,0.2434411,0.2710239



4,288.5853970050812,4137,0.0281869,0.2390341,0.2624685



5,289.6956663131714,4137,0.0293142,0.2327947,0.2533634



6,291.4618721008301,4137,0.0275473,0.2262562,0.2401794



7,289.1970226764679,4137,0.0292621,0.2203846,0.2274411



8,286.1385805606842,4137,0.0272808,0.2177286,0.2166621



9,288.7911515235901,4137,0.0267069,0.2166591,0.2159176



10,290.7922077178955,4137,0.0272161,0.2142507,0.2090546





MaelNetB1_MaelNetS1_PSM_Negative_Corr_RL_5_MaelNetB1_PSM_ftM_dm25_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0

Epoch,Cost Time,Steps,Train Loss,Vali Loss,Test Loss

1,1176.4358065128326,4137,0.0324876,0.2098614,0.2736733





MaelNetB1_MaelNetS1_PSM_Negative_Corr_RL_5_MaelNetB1_PSM_ftM_dm25_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0

Epoch,Cost Time,Steps,Train Loss,Vali Loss,Test Loss

1,1138.3530082702637,4137,0.0324727,0.2081864,0.2708618





MaelNetB1_MaelNetS1_PSM_Negative_Corr_RL_6_epoch10_MaelNetB1_PSM_ftM_dm25_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0

Epoch,Cost Time,Steps,Train Loss,Vali Loss,Test Loss

1,1166.074006319046,4137,0.0324831,0.2066006,0.2691448



2,1132.8480138778687,4137,0.0131932,0.1828737,0.2315637



3,1147.4789493083954,4137,0.0101113,0.1696951,0.2147553



MaelNetB1_MaelNetS1_PSM_Negative_Corr_RL_5_MaelNetB1_PSM_ftM_dm25_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0

Epoch,Cost Time,Steps,Train Loss,Vali Loss,Test Loss

1,1143.7719633579254,4137,0.0324785,0.2069317,0.2675551





MaelNetB1_MaelNetS1_PSM_Negative_Corr_RL_5_MaelNetB1_PSM_ftM_dm25_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0

Epoch,Cost Time,Steps,Train Loss,Vali Loss,Test Loss

1,1334.0459730625153,4137,0.0324828,0.2086812,0.2748846





MaelNetB1_MaelNetS1_SMD_Negative_Corr_RL_3_MaelNetB1_SMD_ftM_dm38_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0

Epoch,Cost Time,Steps,Train Loss,Vali Loss,Test Loss

1,164.9584400653839,222,0.2289626,0.4653286,2.1889436





MaelNetB1_MaelNetS1_SMD_Negative_Corr_RL_3_MaelNetB1_SMD_ftM_dm38_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0

Epoch,Cost Time,Steps,Train Loss,Vali Loss,Test Loss

1,158.7391481399536,222,0.2289646,0.4653261,2.1889981



2,167.697425365448,222,0.1937668,0.4082361,2.121729



3,170.1040699481964,222,0.1770197,0.3831581,2.0253557



4,171.04440212249756,222,0.1711883,0.3717287,2.13097



5,169.63457775115967,222,0.167853,0.3667471,1.9808145



6,170.7312035560608,222,0.1660795,0.36705,1.9493993



7,169.65678930282593,222,0.1652141,0.3642356,1.9913881



8,171.02608346939087,222,0.1648653,0.3623978,1.9974511



9,167.9414999485016,222,0.1644079,0.3604501,1.9546861



10,167.62392735481262,222,0.164418,0.3579949,2.0045058





MaelNetB1_MaelNetS1_SWaT_Negative_Corr_RL_3_epoch10_MaelNetB1_SWaT_ftM_dm51_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0

Epoch,Cost Time,Steps,Train Loss,Vali Loss,Test Loss

1,392.46919679641724,15466,0.0413835,0.1688499,0.573505



2,380.2960114479065,15466,0.0181726,0.1139507,0.3964177



3,380.3674736022949,15466,0.0119999,0.1039678,0.375442



4,381.73788475990295,15466,0.0112367,0.1033242,0.3840821



5,382.1451141834259,15466,0.0099838,0.0811957,0.451309



6,382.50774335861206,15466,0.0094485,0.0781714,0.4468451



7,382.07599401474,15466,0.0092353,0.0782354,0.4583558



8,386.5981957912445,15466,0.0091788,0.0726856,0.4490054



9,383.81745195388794,15466,0.0092985,0.068208,0.4219334



10,382.3521828651428,15466,0.009239,0.0627419,0.4150516



MaelNetB1_MaelNetS1_SWaT_Negative_Corr_RL_3_epoch10_MaelNetB1_SWaT_ftM_dm51_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0

Epoch,Cost Time,Steps,Train Loss,Vali Loss,Test Loss

1,395.1030161380768,15466,0.0413831,0.1688439,0.573501





MaelNetB1_MaelNetS1_SWaT_Negative_Corr_RL_2_epoch10_MaelNetB1_SWaT_ftM_dm51_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0

Epoch,Cost Time,Steps,Train Loss,Vali Loss,Test Loss

1,398.54747343063354,15466,0.041383,0.1688497,0.5735008



2,385.0909276008606,15466,0.0181645,0.1141568,0.397559



3,388.6501495838165,15466,0.0119723,0.1042029,0.3791239



4,389.3831226825714,15466,0.0112033,0.1038049,0.3901464



5,390.1231892108917,15466,0.0099514,0.083868,0.4173782



6,391.8305058479309,15466,0.0094238,0.0786633,0.4329579



7,391.96899008750916,15466,0.0092069,0.0786309,0.4534138



8,394.07127809524536,15466,0.0091503,0.0728596,0.4496341



9,394.534193277359,15466,0.0092627,0.0676755,0.4614291



10,392.9874885082245,15466,0.0092133,0.0608148,0.4581261





MaelNetB1_MaelNetS1_SMAP_Negative_Corr_RL_1_epoch10_MaelNetB1_SMAP_ftM_dm25_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0

Epoch,Cost Time,Steps,Train Loss,Vali Loss,Test Loss

